"HolderAddress","Balance","PendingBalanceUpdate"
"0x1c0aa8ccd568d90d61659f060d1bfb1e6f855a20","719,036.114135828443150086","No"
"0x65e51a6f396599558e647d7e4d8e6e6ca6ee4a9b","349,991.25","No"
"0x1af331dc34dd7c5c62af28b5685328318b61888a","210,085.336810271872008222","No"
"0x11638182abedc79c44991552f52e1a40841a70c8","199,835","No"
"0xbc02d13f9e842b2c81b4f615ef78b772e0cfeb4d","195,276.796106157217104388","No"
"0x96322337c33d085141701234f81d94d34505f51a","192,045.684743630629859148","No"
"0x3084294f937a113513d84f4ecff8d50f1cee06ba","171,540","No"
"0xa28b3ad684554593e996dd8eaa1cbcccaf4d1247","151,543.021724308097689766","No"
"0x097c89a0479392d94344cf37060378c91741735b","129,993.834947617238491835","No"
"0x3b1ace6df4992553a805044582e617d518a8ae43","125,500","No"
"0xcf706f82cbcfbf2e9c49a90f11cd2ec37f2a98fb","120,000","No"
"0x0c738d0158acc06982dfb7560a3608df244e9d37","106,716.792122246982915876","No"
"0x887c3599c4826f7b3cde82003b894430f27d5b92","105,004.161034961025111964","No"
"0x074da8042482bf0ae0a3fbebe1f15df815a8d46b","102,970.042490288669747032","No"
"0x16f66fa4623c55bf851d3462667448ffb8e3a5f4","101,650.646816777278453772","No"
"0x201b70cdb25ae89600c7b1e8fa121f537f9dc11b","100,263.395359697482661879","No"
"0xf1582d82c0bb81a9e4a8a2cd3fef73271b00a9a9","90,000.708606137701535755","No"
"0xfbd69f8116268feb3d926fca217ab2d56acade8e","83,755.173591549313857105","No"
"0xfc8327f1aa2da57e28c49a896c8d7fd89dcaf5ba","83,366.8715145977","No"
"0x497d6b6eda16cfa89b85062952d101b9d0937e7d","83,000","No"
"0x054680a02fdffb3f133bbdd5462e93290cdbc4c4","77,910.310982557184888136","No"
"0x3fbe2fd902d278e3f05575149505f998445ea4b0","71,825","No"
"0xf7e65c22df45dde9ec4ac38902b232e19c79e203","64,289.21509751613300144","No"
"0x948db6cde4ac5cc91bcb3b7552bc8608bc10dc37","62,544.026166877777308704","No"
"0x07427c476501e03b1802541625cefd1df24484d2","59,519.551943888093598657","No"
"0x84262114efbe24a6518df419abfcb0bf797bfcc9","51,596.148071571629197973","No"
"0x16a55d6c1d1991dfe63af7a0b8f19749791c9f52","50,305.54540504852735229","No"
"0x357836ffcb45307fa7ff2a574f505753c961902b","50,000.780550729059423716","No"
"0xbf2ae5514adf8800f26a2769b81f952890f081f2","49,999.040907312980050833","No"
"0xc86fe8674ad03055a98287146d67cfd0892d1fed","49,419.951961666019344218","No"
"0x15fe75a261e14c0c5a1da3d3ba25cced5faf614c","47,210.954571614792972627","No"
"0x8e49f27740cba1e6d5799d8562cdf580c66d666e","46,466.759645035168406596","No"
"0x3888844b70e1bf39d4a4fa360712ff5725a73738","45,867.569876602296928373","No"
"0x95304c3c0b6f3948e8060c7c44f03d5d459b1f3d","45,658.165447571293065513","No"
"0x78b1094269465e61b08fe6040db5cb754e85a159","44,807.827549590120205335","No"
"0x08ceb8bba685ee708c9c4c65576837cbe19b9dea","44,566.397703988415848211","No"
"0x68a2e661d5eeb95583357880ce6f5e59ec6e8c21","41,028.689078237324397092","No"
"0x0b166fa24f6c3e899c29d511657902bed3d35ddf","40,000.00000000000019639","No"
"0xe1315479b29620164bb07a973c0f9525efc3d3ef","39,531.303935794840655269","No"
"0x8744e449857c286e98aece4a6bba3b55ad991c44","38,286.39865641296477669","No"
"0x957e53f61da0156f8a4e8c9cf59372d50bd0c6b8","35,870.986749767738774009","No"
"0x9897b49174dc565730ef1d116d80081574ccb3ec","35,307.499836279351710695","No"
"0xa6a8251d710b4cd43dcd0236c5d8127e618f2030","34,799.518158456987598861","No"
"0x36d8b97cce3cfb4178c03b79f61541d2d99e034d","33,749.59914294907690612","No"
"0x5d805ae896a07940fb8393e2d9e6a19061089a89","33,309.269251610579590257","No"
"0x0fcfa1e1b9b30f6873993c08e18aac8fe410d371","33,006.0539451336096791","No"
"0x32b87cfff2f4843b7b9ec60ae0b5d014f975331a","32,205.470919058072047395","No"
"0x28b0cf69fc84f531afe56707179fb46002d5a6fc","31,632.001369125525409827","No"
"0x7d5d6229e0d0b8e8fd88c6036227938e79b10214","31,449.786375783356862124","No"
"0x9807a325752e60e5bde8532bee9e9728afac37c6","30,571.584163505298293294","No"
"0xd4b4cab5cf150f46448a8b312cf4d96521953c5f","30,192.052046052523963882","No"
"0x4332cbc500a70b6031b7329fdaa58f3737f8f77e","29,536.222244464862433138","No"
"0x9b750f7287e50b1e7d9ab847cf22880d09a4596e","28,807.355745376055676689","No"
"0x1c29082c8e4cc328bef3c03b4affaae49373b078","28,802.01825047336962263","No"
"0x0578944c0cf5f70f360b8b6c5527669f7b804547","28,657.44136793138926446","No"
"0xd14a07b5c61dfbe050d98d41ac8ce8a8075013aa","27,965.605150205684603112","No"
"0x68b1fe96b4e6a067b7845f0c967feb18ee10d5ee","27,811.182367121158303689","No"
"0x31379bd6b356cfab504d6097395112f55b3e04aa","27,400.961298261734781222","No"
"0x746992b3ac4d7cab6ff834cb0e5b30ed60578ec1","27,085.887871471854477308","No"
"0xa0b8bea007983e6dcd5f17e32b6b7d297c755ac3","25,530.100222318571690377","No"
"0x5ae3d7f090b2a2ac35a55b1a63a85217f79d8d31","25,124.436071588373441057","No"
"0x21a3aa8b66d71bb0ebf92bf57948dbce39cebed5","25,000","No"
"0xa0a291db0aa4bb6303a68426e0288ef002cfed61","24,465.5","No"
"0xfd6afe0b7da5d870c33490595040fd1a20868caa","24,350.896282338894","No"
"0xac8d6138db3e394188e9115277ff4e59b276bfda","23,820.297985535624105548","No"
"0x189e61e95722f868cc3537b583fb88a80cf6be16","23,015.390926466983976236","No"
"0x540aa3de82691d2ba04f9a82b073283b87ed91fb","22,523.908031053801367467","No"
"0xef31f047d3703bdad059a8868cf87f92889cd598","21,877.474448498121750856","No"
"0x7f6dc3ed17b1d0e079776c3798af134f51fc7356","21,489.668020841562387099","No"
"0xb46eda1636689ac513cd8604d9a40f8e200901b3","21,204.111618862424099437","No"
"0xe7ee8d4ebcd7c75a20ea45da821748b61ed61566","20,820.888184397307284639","No"
"0x84d2e54d851d0818cf86693fb1a9051e3566c84b","20,529.407312723752164412","No"
"0xcece6d1495479ea5f4a2c473e9b353aeac457924","19,895.263884127030084101","No"
"0x883cf7f49a5202f332ee2c8226a5902ad79c2120","19,118.577882851939550858","No"
"0x19260b4fe5eeb32744e3d6663cd75c1eb81fcf64","18,818.394508120768575142","No"
"0xb7a944d38743aed3c782e1e37a9322efca455aa5","18,161.687721490825229569","No"
"0x55fade80e573c4594b0dd73041297024f1f2ee95","18,023.470716235949772924","No"
"0xc324429ac3f275d02cb4134114b55c0682dfc027","17,756.390475253968472446","No"
"0x9c6ae7798237fd5bb2f810adad5eec2d9c95ee0e","17,494.69319649183346129","No"
"0x391c8f6c24156ad61a7a0335a8732ccd78887080","16,644.4451641","No"
"0xf5619be9a9eec427ec05645b9979ac44a069dac7","16,482.182631962310757885","No"
"0x950bb3105af21c9c02cf32aaeae869aeb10254c0","16,274.458728835805457785","No"
"0xec9a7aa0c7ce435a20b3c9d8f8402fc2d89cc6e7","16,058.036969907844532261","No"
"0xa84f72c1c0698bf68c5875913e57a601e3acbd02","15,633.212519493364890073","No"
"0xc9866963868c13dfeb74cb1192977bd4336e1747","15,373.425506665051719658","No"
"0xd56b8a24032ee6a39bba357fd28cb68e8ec0a82f","15,295.397476242299483807","No"
"0x3e660b3d38a30affa458e984fd529c6a75a0e849","15,000","No"
"0xeef2b441c6408dbbe65ef8afb5b982c9e5361071","14,570.00181195088413871","No"
"0x38c2e64cf14281f5120de238c12082d425dc07c4","14,241.323082665283965837","No"
"0x2dbc54d6993a1db9be6431292036641ec73e8c70","14,072.837747022710337594","No"
"0x17f11ec42a10fef80fde83480313eeefc65ea3e2","14,022.153654593525757739","No"
"0x5b5f858689d57aec42b674234d6cdd4bec86f983","13,815.006132765690349657","No"
"0xa9ccf7097a4c6185ba53c47319c6a24fadb16660","13,492.455392437781712024","No"
"0x86a8bc3e4b7a5c85662c3031718cfc8bd30fef66","13,195.256408275430719884","No"
"0xd93ccd3c5706a1b57d7bf3b0bd3f0bc8b0c0a976","13,106.370534009372581462","No"
"0xbbcdfe8a421b1e51256275633858d70d153eed59","13,103.239532589409751711","No"
"0xadbaca84b574793de7879dd172cdecbf3d5f7656","12,890.483690658836118556","No"
"0xcf2b7c6bc98bfe0d6138a25a3b6162b51f75e05d","12,613.683257279037116055","No"
"0xa4477344d50d4ef9355dbf553e1838430c4586d0","12,478.180748264950308833","No"
"0xe37a3e0ce21a3dc64a65e6af4969a42a286ccba5","12,440.058013327381994824","No"
