"HolderAddress","Balance","PendingBalanceUpdate"
"0x5e58ba0e06ed0f5558f83be732a4b899a674053e","7,775,903.683026136819491537","No"
"0x1c0aa8ccd568d90d61659f060d1bfb1e6f855a20","2,149,651.814597505625618405","No"
"0x65e51a6f396599558e647d7e4d8e6e6ca6ee4a9b","2,100,008.75","No"
"0xa23dfea786465e0ef51ed6c288c9f0070d047ef7","1,961,675.385585423956799737","No"
"0x00000000000008882d72efa6cce4b6a40b24c860","282,938.393139335426123984","No"
"0x21caded0e50b60646af532e37d3124cf2669752b","239,311.974188572878354997","No"
"0x85f63454aa755b00c604e4e88d2c1d7858dd4c1d","228,321.187409462545900792","No"
"0xd92fe06d1dae5b4757a0e6061fec24054639ac35","210,000","No"
"0xc5eb9033ebedfa9bd6e18d3d96731fcc074ff138","161,551.337347515000568089","No"
"0x3b1ace6df4992553a805044582e617d518a8ae43","133,693.874361523213167198","No"
"0x88529d2289d47e9339938f25f2e56a33c91671cb","126,659.500720815318187134","No"
"0xbeec9e71a07de24dae8bd6ce2614fc4cfd591801","117,375.087844079546044643","No"
"0x7a168fdda4d493294394aaf21f4af2b953f4b635","111,146.122823573916165184","No"
"0xea4e0cff21ea0a1650b658aaf5142720195245bb","108,141.285199461870335382","No"
"0x371224441c9e01bdc235cdade73a1c89f2045644","106,118.925949814307089315","No"
"0x332b983c92bd0838a86e0f31d50fa54ee02077e4","95,772.16273385093642789","No"
"0x2fcc020f72e5d2edd2a24d04f3dc90d7fdfbd1dd","94,874.56599919086184456","No"
"0x5ae3d7f090b2a2ac35a55b1a63a85217f79d8d31","94,585.409545829050779131","No"
"0x7030ae70d0a31abdea549fc85c0aa7982b06d05a","90,082.881651262445999785","No"
"0x2036683f3064a212e4e031498214570f4c608d00","89,782.283686943498995375","No"
"0x3dac271d1b36a434880c527a678b6487ac9c1f8c","88,078.735965905794794784","No"
"0x27d488a80146fbdee27bad429f18f8207e52fecd","84,882.91374009530609434","No"
"0x497d6b6eda16cfa89b85062952d101b9d0937e7d","84,021.212357576612516538","No"
"0x1e23c7f7213b9fc03b96f3e9aa10baeed3932044","83,916.144658546667448328","No"
"0x552e8052f6b3164b58c3aace43d09260ff6c3548","78,840.741880138770562678","No"
"0xaee989fda15dfa276bebf116b81d26ba233235ce","75,095.2996195056602682","No"
"0x279016988d9b577009ac200d9719a4b85a666334","69,536.264241407328128036","No"
"0x8666602323d2668717a6033534d656eda0187741","69,018.462681550521382053","No"
"0x427153181bf6183ea902817a988c0ced514b286f","66,777.008866505187497167","No"
"0xe6832f0169f1ad56c45f85b77ef447f5552e8121","66,011.318203124687778212","No"
